timestamp,price,quantity,discount_pct,payment_method,action_type,action_id,customer_id,product_id,action_sequence,session_id,funnel_stage
2022-03-01 11:56:11,,,,,visit,0,CUST_000001,,211,inst_00000,browsing
2022-03-01 22:29:32,,,,,visit,1,CUST_000002,,212,inst_00001,browsing
2022-03-01 16:44:00,,,,,visit,2,CUST_000003,,213,inst_00002,browsing
2022-03-01 15:10:01,,,,,visit,3,CUST_000004,,214,inst_00003,browsing
2022-03-01 11:08:11,,,,,visit,4,CUST_000005,,215,inst_00004,browsing
2022-03-01 21:31:10,,,,,visit,5,CUST_000006,,216,inst_00005,browsing
2022-03-02 15:30:17,,,,,visit,24,CUST_000007,,243,inst_00006,browsing
2022-03-02 11:34:14,,,,,visit,25,CUST_000008,,244,inst_00007,browsing
2022-03-02 15:09:35,,,,,visit,26,CUST_000009,,245,inst_00008,browsing
2022-03-02 15:12:03,,,,,visit,27,CUST_000010,,246,inst_00009,browsing
2022-03-02 10:11:31,,,,,visit,28,CUST_000011,,247,inst_00010,browsing
2022-03-02 19:46:38,,,,,visit,29,CUST_000012,,248,inst_00011,browsing
2022-03-02 09:52:53,,,,,visit,30,CUST_000013,,249,inst_00012,browsing
2022-03-02 17:28:31,,,,,visit,31,CUST_000014,,250,inst_00013,browsing
2022-03-03 21:08:48,,,,,visit,84,CUST_000015,,307,inst_00014,browsing
2022-03-03 07:09:29,,,,,visit,85,CUST_000016,,308,inst_00015,browsing
2022-03-03 08:04:44,,,,,visit,86,CUST_000017,,309,inst_00016,browsing
2022-03-04 10:43:56,,,,,visit,108,CUST_000018,,340,inst_00017,browsing
2022-03-04 06:32:47,,,,,visit,109,CUST_000019,,341,inst_00018,browsing
2022-03-04 14:44:14,,,,,visit,110,CUST_000020,,342,inst_00019,browsing
2022-03-04 13:20:39,,,,,visit,111,CUST_000021,,343,inst_00020,browsing
2022-03-04 18:50:44,,,,,visit,112,CUST_000022,,344,inst_00021,browsing
2022-03-04 19:20:05,,,,,visit,113,CUST_000023,,345,inst_00022,browsing
2022-03-04 14:10:38,,,,,visit,114,CUST_000024,,346,inst_00023,browsing
2022-03-04 22:49:26,,,,,visit,115,CUST_000025,,347,inst_00024,browsing
2022-03-04 11:58:06,,,,,visit,116,CUST_000026,,348,inst_00025,browsing
2022-03-05 10:53:20,,,,,visit,145,CUST_000027,,382,inst_00026,browsing
2022-03-05 09:25:01,,,,,visit,146,CUST_000028,,383,inst_00027,browsing
2022-03-05 18:13:30,,,,,visit,147,CUST_000029,,384,inst_00028,browsing
2022-03-05 16:26:51,,,,,visit,148,CUST_000030,,385,inst_00029,browsing
2022-03-05 07:34:53,,,,,visit,149,CUST_000031,,386,inst_00030,browsing
2022-03-06 16:57:04,,,,,visit,170,CUST_000032,,413,inst_00031,browsing
